countrykey,africa,lat_abst,avexpr,logpgp95,other,asia,loghjypl,baseco,rich4,logem4,catho80,muslim80,no_cpm80,f_brit,f_french,sjlofr,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,landlock,goldm,iron,silv,zinc,oilres,malfal94,yellow,leb95,imr95,meantemp,lt100km,latabs,euro1900,democ1,cons1,indtime,democ00a,cons00a,marketref,dem,demcgv,dembmr,demreg,lp_bl,ls_bl,lh_bl,tropicar,distcr,distc,distr,ginv,polity,polity2,mortality,imputedmort,excolony,currentinst,malfal,uvdamage,suitavg,pdiv,pdiv_aa,pdivhmi,pdivhmi_aa,pd1,pd1000,pd1500,pd15001,pop1,pop1000,pop1500,legor_uk,legor_fr,temp,elevavg,elevstd,kgatr,precip,suitgini,area,abslat,cenlong,area_ar,rough,ln_yst,ln_yst_aa,europe,oceania,americas,pprotest,pcatholic,pmuslim,pother,population_initial,population_now,gdp_pc_initial,gdp_pc_now,capital_growth_pct_gdp_initial,capital_growth_pct_gdp_now,gdp_initial,gdp_now,investment_rate,gdp_growth,pop_growth,lgdp_initial,lpop_initial,airdist,brit,buddha,civ72,confuc,dens60,dens65c,dens65i,dpop6090,east,ecorg,engfrac,fertldc1,gde1,gdpch60l,geerec1,ggcfd3,govnom1,govsh61,gvr61,h60,herf00,hindu00,iprice1,laam,life060,lt100cr,malfal66,mining,newstate,oil,opendec1,orth00,othfrac,p60,pi6090,pop1560,pop60,pop6560,priexp70,prights,rerd,revcoup,scout,size60,socialist,spain,sqpi6090,tot1dec1,totind,troppop,wartime,wartorn,yrsopen,ztropics
GAB,1,.011111111,7.818182,8.9078827,0,0,-1.8515095,1,0,5.6347895,65.199997,.80000001,15.200004,0,1,1,.79666668,27,33,37,17,19,85,95,69,79,0,0,0,0,0,0,0,0,0,0,0,0,579000,.94050002,1,52.419998,87.300003,24.5,.26179099,.011111,0,0,2,35,0,1,0,0,0,0,.032258064,14.002131,2.5632641,.87664157,1,236.024,240.752,595.01398,31.955299,-9,-9,280,280,,170,1,237.3978,.18000001,.74879223,.74937433,.73928201,.74064463,.19119325,.76477301,1.529546,1.529546,49264.766,197059.06,394118.13,0,1,24.688751,.37423849,.2085247,1,156.95178,.49673,257670,1,11.75,3246.6421,.085562453,8.0063677,8.0213051,0,0,0,18.799999,65.199997,.80000001,15.2,589317,2225728,7205.8701,8839.7598,31.955299,21.613737,4246541824,19674901724.7247,31.310759,.0040956391,.026933834,8.8826513,13.286719,5790,0,0,.16666667,0,530.18518,3.4386129,1.382892,.030233029,0,5,0,1.4379376,.0099999998,7.4894123,.022399999,.13,.15000001,.090000004,.060600001,0,.877262,0,115.11,0,40.900002,.27000001,1,.22,2,1,1.0549999,0,.059999999,1,6.9129987,.32460001,486,.063786,.91000003,6,169,.12,0,13.675621,0,0,47.789551,.073570676,.23448277,.61979997,0,0,0,.1669023
GHA,1,.088888891,6.2727275,7.36518,0,0,-2.9565115,1,0,6.5042882,18.700001,15.7,39.799999,1,0,0,.70607078,27,32,38,15,21,95,97,61,77,1,0,0,0,0,0,0,0,0,0,0,0,30,.94999999,1,60,65.800003,26.35758,.192991,.088889003,0,0,1,35,0,1,20.319418,1,1,1,0,5.8000002,16.1,.40000001,1,277.57101,278.51001,748.37402,14.1504,3,3,668,668,1,64,1,254.76007,.44999999,.74177074,.74189049,.72738713,.72764099,1.1814605,2.7567413,4.3320217,4.3320217,268829.53,627268.94,985708.25,1,0,27.243994,.18577497,.081002541,.82888049,100.88946,.24519999,227540,8,-2,39500.945,.05559295,8.1605186,8.156682,0,0,0,25.799999,18.700001,15.7,39.799999,8735493,31072945,1077.1395,1848.2502,14.16556,,9409345536,57430579781.1731,17.95718,.010857124,.025703648,6.9820642,15.982905,5190,1,0,.16666667,0,33.590199,77.207809,24.166161,.02727602,0,3,0,1.9028535,.017999999,6.7957058,.026000001,.02,.13,.11,.064999998,0,.82149601,0,158.22,0,45.200001,.19,1,.02,2,0,.3845,0,0,.38,25.81073,.44589999,6774,.025391201,.99400002,5.8899999,248,.55000001,0,15.616552,0,0,666.19379,.029546417,.31034482,.5747,0,0,.22,.92404348
GIN,1,.12222222,6.5454545,7.4899707,0,0,-3.1465552,1,0,6.1800165,1.1,69,29.799999,0,1,1,.75983,27,31,36,17,21,83,94,63,87,0,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,46.5,124,24.43889,.140641,.122222,0,0,1,37,0,1,,0,0,0,.032258064,,,,1,280.026,307.53,309.845,,-9,-9,483,483,,178,1,263.10999,.56999999,.73090291,.73179257,.71094382,.71273649,1.1814605,2.7567413,4.3320217,4.3320217,290308.47,677386.44,1064464.4,0,1,25.785257,.38598803,.2020994,.98785782,146.57538,.16654,245720,11,-10,9755.084,.082875773,8.0864105,8.0556335,0,0,0,.1,1.1,69,29.799999,4154606,13132792,,959.9787,,20.201803,,12607200647.3579,21.423872,,.023284851,,15.239728,4920,0,0,0,0,78.354599,26.939131,12.10934,.019178269,0,5,0,,.025,6.3261495,,,.075000003,.094999999,,0,.51112801,0,156.67999,0,,.17,1,.079999998,2,0,.2965,0,0,,,.41429999,3136,.0248724,,7,,.16,,14.376853,0,0,,,.36551723,.7507,0,0,.2,.45247969
GMB,1,.14755556,8.272727,7.2723985,0,0,-3.0365543,1,0,7.2930179,1.9,84.800003,12.899997,1,0,0,.78037035,24,33,41,7,21,66,95,26,78,0,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,47,122,25.66596,.39976999,.14755601,0,10,7,30,0,1,0,1,0,0,.40000001,1.1849912,3.3033004,.22021535,1,26.2397,139.565,36.579102,6.889812,8,8,1470,1470,1,147,1,262.70001,.46000001,.72862339,.72858971,.70749897,.70749897,1.1814605,2.7567413,4.3320217,4.3320217,11814.605,27567.412,43320.219,1,0,27.913797,.033435531,.01448308,.99262899,78.245056,.079800002,10000,13.466666,-15.5,2850,.01265083,8.0063677,8.0121841,0,0,0,.40000001,1.9,84.800003,12.9,464404,2416664,743.21649,791.95386,6.8898578,,345152704,1913886426.74237,14.152801,.0012711234,.033537898,6.6109872,13.048511,4660,1,0,.83333331,0,28.4091,63.06274,25.306009,.030003591,0,5,0,1.8718022,0,6.4002576,.0211,.0099999998,.22,.2,.1759,0,.67859203,.001,162.64,0,32.299999,1,1,0,2,0,.685,0,0,.12,9.081665,.39449999,352,.03125,1,2.4400001,150,.050000001,0,12.263888,0,0,82.476639,-.0063178912,0,.36050001,0,0,.22,.64787108
GTM,0,.17,5.1363635,8.2940493,0,0,-1.5606477,1,0,4.2626801,94,0,1.0999999,0,0,1,.47666666,19,28,32,5,12,81,92,51,72,0,0,0,0,0,0,20,0,0,0,0,0,2700,.0036000002,1,64.040001,46,21.700001,.42545801,.17,20,1,1,156,0,1,36.003151,1,1,1,0,22.328499,4.0269165,.91413838,1,104.895,105.096,1494.16,12.82563,1,1,71,71,,93,.0153678,253.56439,.89999998,.6218456,.64961517,.63227004,.65323633,.58738303,1.1747661,1.5663548,1.5663548,63689.941,127379.88,169839.84,0,1,23.989914,.56918633,.64560729,.67501742,173.66359,.065729998,108430,15.5,-90.25,13954.94,.31236568,8.1605186,8.3640156,0,0,1,4.9000001,94,0,1.1,5455197,16858333,1897.2975,3263.6692,12.82563,12.934128,10350132224,55020023100.3896,15.153063,.01090749,.022822054,7.5481858,15.512079,3300,0,0,.66666669,0,27.353701,72.559303,19.59408,.027945859,0,3,0,1.878243,.0089999996,7.4145727,.0156,.02,.090000004,.090000004,.0634,.02,.98807198,0,74.07,1,45.900002,.41999999,.020400001,0,0,0,.3795,0,.588,.44999999,7.8087468,.46000001,3964,.026488399,.72000003,4,109,.50999999,0,15.699582,0,1,60.976528,-.02144099,.43448275,.31439999,.079999998,1,.41999999,.1227499
GUY,0,.055555556,5.8863635,7.9047041,0,0,-2.2537949,1,0,3.4713452,18,9,55,1,0,0,.23777778,27,31,34,20,22,83,93,69,77,0,0,0,0,0,0,2,0,0,0,0,0,0,.49503002,1,,,,,,2,5,7,29,0,1,0,0,0,0,.071428575,77.599998,9.1999998,1,1,229.74001,233.476,494.27701,22.759521,1,1,32.18,32.18,1,114,.50836283,254.46576,.46000001,.60184723,.7251178,.57957023,.71765924,,,.22891153,.22891153,,,45061.234,1,0,25.649641,.28444839,.188179,1,191.27516,.23073,196850,5,-59,4803.1401,.10810692,8.2427559,8.678978,0,0,1,18,18,9,55,704930,786559,2948.8477,8741.1611,22.759521,,2078731136,6875438717.59033,27.125898,.021970443,.0021937874,7.9891696,13.465854,,1,0,.83333331,0,377.8559,,,.01227279,0,1,.81999999,1.5924952,.033,7.3752556,.028999999,.12,.16,.23,.17,0,.33991799,.25,52.43,1,60.200001,,,.090000004,2,0,1.165,0,0,1,9.4220181,.4851,569,.0333919,.96899998,4.2800002,117,0,0,13.719136,1,0,88.774422,.040546507,.27586207,,0,0,.16,
HKG,0,.24611111,8.136364,10.04975,0,1,-.49758044,1,0,2.7013612,7.9000001,.5,84.099998,1,0,0,.23682119,21,26,36,0,22,73,87,60,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,22.6,1,.24611101,4,,,,,,,,,,,,,,,,,,,,,14.9,14.9,1,2,0,211.68283,,.69421697,.69830281,,,,,,,,,,1,0,22.43981,.074618198,,,165.05336,,1042,,114.16666,,.092036352,8.5171928,9.0911064,0,0,0,7.5,7.9000001,.5,84.099998,3959000,7481800,5796.1904,35587.563,20.405954,18.951168,22947119104,266259032492.164,25.636467,.036962643,.012811005,8.6649561,15.191502,2940,1,.30000001,.83333331,.30000001,.322,3729.293,0,.02176398,1,5,0,1.2438664,.0040000002,7.7173514,.016799999,.02,.079999998,.039999999,.0162,.039999999,.80589002,.001,70.599998,0,66,1,.046,0,0,0,1.693,0,.98000002,.87,6.2092066,.40889999,3075,.0279675,.041000001,3.6099999,116,0,1,15.748411,0,0,38.554245,.0174,0,0,0,0,1,0
HND,0,.16666667,5.318182,7.6870804,0,0,-2.040221,1,0,4.3579903,95.800003,.1,1.499997,0,0,1,.097359307,22,25,30,14,18,79,91,43,70,0,0,0,0,0,0,20,0,0,0,0,0,0,.012,1,69.400002,35,25.4,.66860199,.166667,20,1,3,156,6,5,37.878784,0,0,0,.071428575,37.718422,4.6772838,.77799672,1,79.853897,79.362396,1344.3101,20.885201,-1,-1,78.099998,78.099998,1,125,.1,249.24216,.73000002,.62012899,.67118829,.62766987,.66693634,.58738303,1.1747661,1.5663548,1.5663548,65722.289,131444.58,175259.44,0,1,24.717607,.45841724,.40277442,.63979107,173.34843,.17914,111890,15,-86.5,10685.495,.25932127,8.0063677,8.5019398,0,0,1,2.5999999,95.800003,.1,1.5,2716652,9904608,1309.8032,2010.5449,20.885201,18.721138,3558279680,19913659065.4369,22.152048,.008607409,.026209582,7.1776323,14.814911,3220,0,0,.66666669,0,57.824299,21.19768,17.77783,.033245001,0,3,0,1.9945643,.017000001,6.9460139,.0211,.029999999,.14,.15000001,.1109,.0099999998,.9418,0,72.949997,1,46.799999,.67000002,.00324,.0099999998,0,0,.61500001,0,.84299999,.67000002,5.7954087,.45590001,1935,.022739001,.91900003,4.0599999,156,.31999999,1,14.513877,0,1,33.586761,-.0287682,.13793103,.3687,.079999998,1,.36000001,.1319818
HTI,0,.21111111,3.7272727,7.1467724,0,0,-2.8647039,1,0,4.8675346,82.599998,0,4.6000013,0,1,1,.064404763,27,34,38,16,20,68,79,43,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,53.75,67.699997,26.58033,1,.21111099,0,0,1,175,0,1,,0,0,0,.071428575,12.400001,3.8,.30000001,1,24.8002,24.7766,924.24597,,-9,-9,130,130,1,174,1,252.93021,.91000003,.61660665,.74464405,,,.44332135,.88664275,1.329964,1.329964,12217.937,24435.875,36653.809,0,1,24.58881,.33877847,.32325119,1,121.11575,.059939999,27560,19,-72.416664,7799.48,.4382177,6.9077554,7.9694366,0,0,1,12.8,82.599998,0,4.5999999,4676237,11402533,1354.0162,1188.2958,,12.066192,6331700736,13549581658.1937,16.606728,-.0026076939,.017986683,7.2108302,15.358005,2500,0,0,.16666667,0,7.2392998,150.3266,0,.017616769,0,3,0,1.7801929,.025,6.828712,.0153,0,.090000004,.16,.1177,0,.90860802,0,100.91,1,42.400002,1,1,0,0,0,.29100001,0,.075000003,.46000001,6.4471321,.4093,3807,.050433401,.74400002,6.5,114,.16,0,15.073309,0,0,41.565514,-.0288,.15862069,0,.2,1,0,.2065545
IDN,0,.055599999,7.590909,8.0709057,0,1,-2.2072749,1,0,5.1357985,2.7,43.400002,49.099998,0,0,1,.74219751,28,33,37,19,21,90,95,61,75,0,0,0,0,0,0,0,0,0,0,0,0,29700,.17873,1,65.129997,48.400002,26.799999,.74576002,.055555999,0,0,1,50,0,1,57.14286,0,0,0,0,39.099998,5.0999999,.5,1,76.184502,76.118896,2140.52,15.831714,-7,-7,170,170,1,128,.45168129,273.71814,.33000001,.68180293,.68214208,,,1.1040148,2.0700276,4.2780571,4.2780571,2000000,3750000,7750000,0,1,25.852055,.25174856,.45376769,.87726849,211.53783,.44621,1811570,5,120,205069.72,.26380318,8.2940493,8.3187418,0,0,0,4.8000002,2.7,43.400002,49.099998,114793179,273523621,772.1297,4312.353,13.622754,32.367462,88635219968,1179530430084.12,23.682428,.035000313,.017516769,6.6491523,18.558643,5800,0,.0099999998,.33333334,0,18.8325,76.172348,8.9722328,.021886369,1,3,0,1.6932274,.041999999,6.4583383,.0174,.050000001,.1,.13,.0656,.0099999998,.38044399,.02,40.189999,0,41.5,.75,.41677999,.12,2,1,.29800001,0,.0089999996,.70999998,36.551254,.40000001,96194,.033359699,.986,5,98,.28,1,17.932461,0,0,1335.994,.073570684,.068965517,.044,.039999999,1,.56,.44652471
IND,0,.22220001,8.272727,7.3260002,0,1,-2.453408,1,0,3.8842406,1.3,11.6,86,1,0,0,.69056785,24,28,46,-1,22,35,80,19,64,1,0,0,0,0,0,0,0,0,5,0,7,6750,.23596001,0,62.59,72.300003,25.9,.156776,.222222,0,9,7,45,0,1,5.3571429,1,1,1,1,22.700001,3.9000001,1.1,.5121367,342.61499,463.79401,847.383,15.317875,9,9,48.630001,48.630001,,132,.33260229,232.94775,.5,.72227544,.72220767,.71849573,.71848452,8.7759151,19.874866,25.811514,25.811514,26092464,59091756,76742536,1,0,23.031626,.71149933,.92038518,.3409535,97.089554,.28275999,2973190,20,77,1605522.6,.16869503,9.047821,9.0449352,0,0,0,1.1,1.3,11.6,86,555189797,1380004385,396.01169,1961.2987,16.653141,28.420298,219861647360,2706600821780.82,25.543957,.03251582,.018377462,5.9814439,20.134821,5860,1,.0099999998,.66666669,0,6.7213998,238.64841,153.134,.02211792,0,3,0,1.7611284,.028000001,6.6411819,.021,.050000001,.090000004,.33000001,.28099999,.029999999,.68408602,.815,57.240002,0,42.5,.25,.13186,.02,2,0,.094999999,.001,0,.61000001,7.2935338,.39739999,442344,.034321699,.47999999,2,94,.12,0,19.641026,0,0,53.195637,-.019845098,.24827586,.39289999,.039999999,1,.02,.45924529
JAM,0,.20166667,7.090909,8.1886892,0,0,-2.040221,1,0,4.8675346,9.6000004,.1,34.799999,1,0,0,.0125,26,33,36,14,20,77,88,61,73,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,74.82,21.9,26.5,1,.201667,1.9,10,7,36,0,1,29.031532,1,1,1,.875,86.800003,6.9000001,1.1,1,12.2525,12.2341,841.10797,31.539383,10,10,130,130,1,90,0,256.85617,,.61832619,.74279803,,,.44332135,.88664275,1.329964,1.329964,4801.1704,9602.3408,14403.511,1,0,25.934616,.24625112,,1,153.08659,,10830,18.25,-77.5,1740.381,.34284833,6.9077554,8.0719042,0,0,1,55.5,9.6000004,.1,34.799999,1875637,2961161,4590.0483,4357.9604,31.539385,24.405205,8609264640,12904621963.6359,24.437389,-.0010371897,.0091744913,8.4316454,14.444459,2560,1,0,.83333331,0,6.6483002,162.51151,0,.01432883,0,5,.94,1.6641155,.0040000002,7.4804282,.020099999,.090000004,.1,.07,.040899999,.02,.83092397,.003,85.120003,1,63,1,0,.090000004,2,0,.75700003,0,0,.92000002,11.507174,.41710001,1629,.042971101,.47099999,1.72,139,0,0,14.87615,0,0,132.41505,.024116211,.1724138,0,.039999999,1,.41999999,0
KEN,1,.011111111,6.0454545,7.0561752,0,0,-2.8824036,1,0,4.9767337,26.4,6,48.300003,1,0,0,.82696486,18,26,31,5,11,74,89,40,62,1,1,0,0,0,0,0,0,0,0,0,0,0,.79799998,1,52.040001,65.5,22.6,.082503997,.011111,0,5,5,32,0,1,14.246957,0,0,0,.032258064,20.5,3.0999999,.5,1,434.26501,434.53101,2497.8501,24.396675,-7,-7,145,145,1,121,.84483522,291.51532,.23999999,.76549602,.76516187,.77107263,.77020288,.17570369,1.4056295,2.6355555,2.6355555,100000,800000,1500000,1,0,24.445189,.79257125,.61391258,.49074391,62.469723,.54907,569140,1,38,45018.973,.17643383,8.1605186,8.186882,0,0,0,19.299999,26.4,6,48.299999,11301394,53771300,598.4574,1206.2216,24.396675,15.666205,6763403264,64860101745.4384,20.167274,.014116565,.031687979,6.3943553,16.240437,6650,1,0,.5,0,68.307701,13.07549,17.493891,.035653651,0,5,0,2.0794415,.003,6.4907236,.0361,.039999999,.16,.15000001,.1119,0,.92086399,.0049999999,55.740002,0,45,.079999998,.98000002,0,2,0,.60600001,0,0,.47,8.1730299,.49700001,8332,.0411666,.87400001,5.3299999,131,.050000001,1,15.518582,0,0,66.798416,-.019574456,.31724137,.93519998,0,0,.039999999,.40146959
LKA,0,.077777781,6.0454545,7.7319307,0,1,-1.8643302,1,0,4.2456341,6.8000002,7.1999998,85.599998,1,0,0,.32574692,27,31,36,15,22,71,80,66,78,0,0,0,0,0,0,0,0,0,0,0,0,0,.138,1,73.110001,17.6,27.6,.99361998,.077777997,0,7,7,47,0,1,27.285004,1,1,1,1,39.900002,35,1.2,1,38.9524,38.931801,1848.64,18.947599,8,8,69.800003,69.800003,,81,.1753118,275.70676,.68000001,.71284485,.71331632,,,4.6418071,12.378153,15.472691,15.472691,300000,800000,1000000,1,0,27.172689,.10254448,.29242229,1,140.75883,.14596,64630,7,81,8951.2549,.089741342,8.5171928,8.5515947,0,0,0,.40000001,6.8000002,7.1999998,85.599998,12485736,21919000,711.83954,3845.6831,18.947599,25.235312,8887840768,84293528650.4606,23.568651,.034312628,.011318919,6.5678525,16.340097,6850,1,.69,.66666669,0,6.5355,171.5903,351.34851,.01905157,0,2,.0099999998,1.4881738,.0099999998,7.138073,.038199998,.059999999,.15000001,.23999999,.1928,.0099999998,.41670001,.233,124.85,0,62.299999,.99000001,.037999999,.0099999998,2,0,.60949999,0,0,.94999999,7.5857573,.42070001,9889,.036201801,.986,2.4400001,51,.079999998,1,16.337252,0,0,57.543713,-.030010462,.2,.0471,.039999999,1,.40000001,.6367116
MAR,1,.35555556,7.090909,8.0423784,0,0,-1.6766466,1,0,4.3592696,.2,99.400002,.39999849,0,1,1,.34797192,24,27,48,0,12,87,92,59,72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.639999,51,18.5,.36785799,.35555601,1,1,1,195,1,1,11.276258,0,0,0,0,3.192585,1.5447992,0,0,178.334,177.80099,638.87201,18.48559,-9,-9,78.199997,78.199997,,97,0,191.13016,.16,.73347205,.73287797,.72457242,.72327393,2.2406454,4.4812908,3.3609679,3.3609679,1000000.1,2000000.1,1500000,0,1,19.848238,.55465925,.56229329,0,18.296021,.56405002,446300,32,-5,87653.32,.15949517,8.1605186,8.2426243,0,0,0,0,.2,99.400002,.40000001,16004732,36910558,1019.252,3126.9641,18.48559,29.222961,16391215104,117285818085.103,25.759447,.022673085,.016852695,6.9268241,16.588394,2175,0,0,.5,0,38.3881,51.219379,17.418011,.025558921,0,3,0,1.9362926,.027000001,6.7031879,.0305,.02,.14,.12,.063500002,0,.93022197,0,120.1,0,46.900002,.38,0,.029999999,2,0,.396,0,.74000001,.47,5.8099999,.44870001,11626,.025890199,.903,4.1700001,123,.079999998,0,16.064188,0,0,33.7561,.031845376,.27586207,0,.44,1,.44,0
MDG,1,.22222222,4.4545455,6.8351846,0,0,-3.1941831,1,0,6.2842088,26,1.7,50.299999,0,1,1,.062748641,18,27,35,1,12,85,94,49,71,1,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,57.509998,82.5,23.299999,.57096398,.222222,0,3,4,35,0,1,0,0,0,0,.032258064,,,,.87653255,97.816597,97.659599,1631.05,9.9127178,-1,-1,536.03998,536.03998,,142,1,252.26431,.25999999,.74976611,.74964333,,,,.34391442,1.2037005,1.2037005,,199999.98,700000,0,1,22.741579,.43230367,.43822891,.4839859,130.64284,.3775,581540,20,47,29018.844,.16979755,7.6009026,7.6172676,0,0,0,22,26,1.7,50.299999,6576305,27691019,853.63147,458.81494,9.9127178,,5613741056,12705052902.8462,18.222595,-.012340279,.029170051,6.7494998,15.698983,8940,0,0,.66666669,0,109.5385,8.6534843,12.95668,.026985601,0,1,0,1.8857051,.013,7.0825486,.0206,.029999999,.2,.14,.1054,0,.44097799,0,207.92999,0,41,.56999999,1,.079999998,2,0,.37200001,0,0,.51999998,9.2344065,.41100001,5309,.028065501,.92799997,5.2199998,120,.1,0,15.659707,0,0,85.274269,-.011247791,.20689656,.48897001,0,0,0,.1242512
MEX,0,.25555557,7.5,8.9437675,0,0,-.83701754,1,0,4.2626801,94.699997,0,4.1000032,0,0,1,.17407407,16,23,32,-3,9,66,86,26,54,0,1,0,0,0,0,15.000001,0,0,0,13,4,570000,.00042,1,72.18,31,19,.37255001,.25555599,15.000001,1,3,173,0,1,26.190475,0,0,0,.071428575,53.446392,6.7500763,2.3512316,.47181982,207.121,207.17,1224.54,22.725298,-6,-6,71,71,,48,.041130401,227.77446,.44,.6286276,.66654986,.6444447,.67033178,.78587931,1.5717586,2.6195977,2.6195977,1527710.1,3055420.3,5092367,0,1,21.171274,.81281722,.7843163,.20183159,61.877071,.48841,1943950,23,-102,252519.09,.24386849,8.3187418,8.5153732,0,0,1,1.2,94.699997,0,4.0999999,51493565,128932753,5524.2725,9322.3359,22.739189,19.213943,284464480256,1201954407872.7,21.763903,.010520185,.018526202,8.6169071,17.756968,3360,0,0,.66666669,0,51.881901,17.430639,24.489981,.02852864,0,3,0,1.86377,.0070000002,7.95015,.0134,.059999999,.07,.059999999,.0436,.029999999,.97621799,0,55.77,1,57.299999,.37,.00013,.029999999,0,0,.1605,0,.88,.80000001,22.686235,.4562,38020,.0330089,.67500001,3.6700001,71,0,0,18.496017,0,1,514.66528,0,.5103448,.36774999,0,0,.2,.1124655
MLI,1,.18888889,4,6.5652652,0,0,-3.3524072,1,0,7.986165,.69999999,80,19.1,0,1,1,.80856913,29,36,47,8,19,33,94,18,73,0,1,0,0,1,0,0,1,0,0,0,0,0,.94050002,1,53.299999,118,29.299999,0,.188889,0,0,3,35,0,1,0,0,0,0,.032258064,3.4827788,.45440128,.16855828,.96252501,1036.45,1074.26,1163.95,15.277317,-7,-7,2940,2940,1,151,.98992378,260.14401,.11,.73571444,.73556399,.71974504,.71960372,.20958605,.41917208,.62875813,.62875813,255734.81,511469.59,767204.38,0,1,28.583412,.32844955,.081092782,.0371712,28.79528,.74452001,1220190,17,-4,46367.219,.02670587,8.0063677,8.0111895,0,0,0,.2,.69999999,80,19.1,5949042,20250834,360.78973,755.90289,15.277317,14.304619,2146353280,15307664127.9981,18.75157,.0149023,.024801889,5.8882952,15.598741,4500,0,0,.16666667,0,278.9006,0,3.9256179,.02451561,0,1,0,1.8916048,.028000001,6.2822666,,.0099999998,.1,.2,.121,0,.57999998,0,98.68,0,35.900002,0,.80000001,.0099999998,2,0,.31099999,0,.012,.1,6.751832,.43419999,4375,.0235429,.89399999,6.8899999,127,.23999999,0,14.665929,0,0,45.587234,-.017520402,.14482759,1,0,0,.16,.4011322
MLT,0,.39444444,7.2272725,9.427063,1,0,-.77002823,1,0,2.7911651,97.300003,0,2.1999969,1,0,1,.10333333,23,22,40,5,18,71,78,59,68,0,0,0,0,0,0,100,0,0,0,0,0,0,,0,,,,,,,,,,,,,1,1,1,.95454544,54.81102,19.151588,3.2565928,,,,,30.026821,,,16.299999,16.299999,1,102,,151.79025,,.735888,.73571986,,,,31.25,62.5,62.5,,10000,20000,0,1,17.768229,.148625,,,38.688023,,320,35.833332,14.433333,80,.28056249,8.9359035,8.9291439,1,0,0,.5,97.300003,0,2.2,302650,525285,3324.6184,26013.506,30.026842,23.419884,1006195776,13664504216.412,23.95537,.042003412,.011088303,8.1091099,12.620333,,1,0,.83333331,0,1.5197999,,,-.00039761001,0,2,0,.72367638,.013,7.2254815,.0361,.059999999,.23999999,.23,.1779,.02,.80554599,0,100.85,0,69,,,.039999999,2,0,1.3865,.001,0,1,3.4801333,.36809999,329,.072948299,.214,1.5599999,79,0,0,13.02154,0,0,12.111328,-.02131759,.3862069,,0,0,.47,
MYS,0,.025555555,7.9545455,8.8942585,0,1,-1.3205067,1,0,2.8735647,2.8,49.400002,46.399998,1,0,0,.6103704,28,35,37,18,21,95,97,58,66,0,0,0,0,0,0,0,0,0,0,0,0,192000,.23331,1,72,11.4,26.700001,.79440701,.025556,0,10,7,38,0,1,52.952671,0,0,0,0,39.595062,10.687951,1.4599288,1,71.732697,71.505501,1061.3,20.188637,1,1,17.700001,17.700001,1,12,.2543278,271.03558,.27000001,.68923157,.69374394,.67762929,.68886495,.30374825,.6074965,1.214993,1.214993,99796.484,199592.97,399185.94,1,0,26.028496,.23076233,.2876175,.83273602,233.9334,.18203001,328550,2.5,112.5,18201.67,.17829835,8.4118328,8.6932449,0,0,0,1.4,2.8,49.400002,46.400002,10804131,32365998,1915.8716,11637.352,17.50782,19.677961,20699326464,376654485569.54,25.628078,.036739763,.022186128,7.5579281,16.195438,5380,1,.27000001,.66666669,.0099999998,40.3624,32.955429,13.33214,.02618718,1,5,0,1.7105495,.02,7.2584124,.028100001,.07,.16,.14,.092900001,.0099999998,.32268599,.102,61.59,0,54.299999,.80000001,.62216002,.1,2,0,.76450002,0,.30899999,.95999998,3.2668145,.44960001,8140,.034152299,.926,3.1099999,88,.039999999,1,16.262959,0,0,10.672076,-.023180164,.15862069,.1217,0,0,1,.33798829
NER,1,.17777778,5,6.7334018,0,0,-3.5404594,1,0,5.9914646,.2,87.900002,11.899999,0,1,1,.73291427,29,38,46,8,19,26,91,11,68,0,1,0,0,0,0,0,1,0,0,0,0,0,.94050002,1,48.5,115,28.4,0,.17777801,0,0,3,37,0,1,0,0,0,0,.032258064,8.6933718,.24346119,.16974233,1,1180.26,1197.49,1348.5601,9.8496933,-7,-7,400,400,0,176,.98422879,269.80963,.0099999998,.74396914,.7402218,.73427701,.72790569,.20958605,.41917208,.62875813,.62875813,265482.66,530965.25,796447.94,0,1,27.404308,.47127628,.16485479,0,17.186642,.69376999,1266700,16,8,144783.81,.03710857,8.2940493,8.1884117,0,0,0,0,.2,87.900002,11.9,4510645,24206636,817.34833,550.4408,9.8496933,,3686768128,13324320238.3562,16.590675,-.0078757415,.034174718,6.7060652,15.321951,4460,0,0,.16666667,0,418.32889,0,2.8893981,.031613208,0,5,0,1.9251242,.0099999998,6.2766433,.0049000001,.029999999,.1,.27000001,.25909999,0,.50480199,0,93.300003,0,35.400002,0,.75999999,.079999998,2,0,.28650001,0,.035,.050000001,5.1076183,.4147,3028,.0234478,.963,6.8899999,204,.16,1,14.292301,0,0,26.087767,-.011778302,.20689656,1,0,0,0,.37613961
