africa,lat_abst,avexpr,logpgp95,other,asia,rich4,logem4,catho80,muslim80,no_cpm80,f_brit,f_french,sjlofr,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,landlock,goldm,iron,silv,zinc,oilres,malfal94,yellow,leb95,imr95,meantemp,lt100km,latabs,indtime
0,.16666667,5.318182,7.6870804,0,0,0,4.3579903,95.800003,.1,1.499997,0,0,1,.097359307,22,25,30,14,18,79,91,43,70,0,0,0,0,0,0,20,0,0,0,0,0,0,.012,1,69.400002,35,25.4,.66860199,.166667,156
0,.21111111,3.7272727,7.1467724,0,0,0,4.8675346,82.599998,0,4.6000013,0,1,1,.064404763,27,34,38,16,20,68,79,43,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,53.75,67.699997,26.58033,1,.21111099,175
0,.055599999,7.590909,8.0709057,0,1,0,5.1357985,2.7,43.400002,49.099998,0,0,1,.74219751,28,33,37,19,21,90,95,61,75,0,0,0,0,0,0,0,0,0,0,0,0,29700,.17873,1,65.129997,48.400002,26.799999,.74576002,.055555999,50
0,.22220001,8.272727,7.3260002,0,1,0,3.8842406,1.3,11.6,86,1,0,0,.69056785,24,28,46,-1,22,35,80,19,64,1,0,0,0,0,0,0,0,0,5,0,7,6750,.23596001,0,62.59,72.300003,25.9,.156776,.222222,45
0,.20166667,7.090909,8.1886892,0,0,0,4.8675346,9.6000004,.1,34.799999,1,0,0,.0125,26,33,36,14,20,77,88,61,73,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,74.82,21.9,26.5,1,.201667,36
1,.011111111,6.0454545,7.0561752,0,0,0,4.9767337,26.4,6,48.300003,1,0,0,.82696486,18,26,31,5,11,74,89,40,62,1,1,0,0,0,0,0,0,0,0,0,0,0,.79799998,1,52.040001,65.5,22.6,.082503997,.011111,32
0,.077777781,6.0454545,7.7319307,0,1,0,4.2456341,6.8000002,7.1999998,85.599998,1,0,0,.32574692,27,31,36,15,22,71,80,66,78,0,0,0,0,0,0,0,0,0,0,0,0,0,.138,1,73.110001,17.6,27.6,.99361998,.077777997,47
1,.35555556,7.090909,8.0423784,0,0,0,4.3592696,.2,99.400002,.39999849,0,1,1,.34797192,24,27,48,0,12,87,92,59,72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.639999,51,18.5,.36785799,.35555601,195
1,.22222222,4.4545455,6.8351846,0,0,0,6.2842088,26,1.7,50.299999,0,1,1,.062748641,18,27,35,1,12,85,94,49,71,1,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,57.509998,82.5,23.299999,.57096398,.222222,35
0,.25555557,7.5,8.9437675,0,0,0,4.2626801,94.699997,0,4.1000032,0,0,1,.17407407,16,23,32,-3,9,66,86,26,54,0,1,0,0,0,0,15.000001,0,0,0,13,4,570000,.00042,1,72.18,31,19,.37255001,.25555599,173
1,.18888889,4,6.5652652,0,0,0,7.986165,.69999999,80,19.1,0,1,1,.80856913,29,36,47,8,19,33,94,18,73,0,1,0,0,1,0,0,1,0,0,0,0,0,.94050002,1,53.299999,118,29.299999,0,.188889,35
0,.025555555,7.9545455,8.8942585,0,1,0,2.8735647,2.8,49.400002,46.399998,1,0,0,.6103704,28,35,37,18,21,95,97,58,66,0,0,0,0,0,0,0,0,0,0,0,0,192000,.23331,1,72,11.4,26.700001,.79440701,.025556,38
