code,marketref,dem,demCGV,demBMR,demreg,lp_bl,ls_bl,lh_bl,tropicar,distcr,distc,distr,ginv,polity,polity2,landlock,yellow,oilres,goldm,iron,silv,zinc,mortality,imputedmort,logem4,excolony,lt100km,democ1,democ00a,cons00a,currentinst,imr95,leb95,malfal,uvdamage,suitavg,pdiv,pdiv_aa,pdivhmi,pdivhmi_aa,pd1,pd1000,pd1500,pd1500.1,pop1,pop1000,pop1500,legor_uk,legor_fr,temp,elevavg,elevstd,kgatr,precip,suitgini,area,abslat,cenlong,area_ar,rough,ln_yst,ln_yst_aa,africa,europe,asia,oceania,americas,pprotest,pcatholic,pmuslim,pother,population_initial,population_now,gdp_pc_initial,gdp_pc_now,capital_growth_pct_gdp_initial,capital_growth_pct_gdp_now,gdp_initial,gdp_now,investment_rate,gdp_growth,pop_growth,lgdp_initial,lpop_initial,AIRDIST,AVELF,BRIT,BUDDHA,CIV72,CONFUC,DENS60,DENS65C,DENS65I,DPOP6090,EAST,ECORG,ENGFRAC,FERTLDC1,GDE1,GDPCH60L,GEEREC1,GGCFD3,GOVNOM1,GOVSH61,GVR61,H60,HERF00,HINDU00,IPRICE1,LAAM,LIFE060,LT100CR,MALFAL66,MINING,NEWSTATE,OIL,OPENDEC1,ORTH00,OTHFRAC,P60,PI6090,POP1560,POP60,POP6560,PRIEXP70,PRIGHTS,RERD,REVCOUP,SCOUT,SIZE60,SOCIALIST,SPAIN,SQPI6090,TOT1DEC1,TOTIND,TROPPOP,WARTIME,WARTORN,YRSOPEN,ZTROPICS
CYP,62.593754,0.0,0.0,0.0,0.0,59.077488,18.680655,2.5380895,0.0,11.0395,10.9391,555.636,,7.0,7.0,,,,,,,,,,,,,,,,,,,0.0,166.84354,,0.74060154,0.7417224,,,,16.233767,21.645021,21.645021,,150000.0,200000.0,1.0,0.0,18.119528,0.28940594,,0.0,42.99334,,9240.0,35.0,33.0,980.36395,0.3910924,9.047821,9.074807,0.0,1.0,0.0,0.0,0.0,0.6,1.3,18.5,79.6,613618.0,1207361.0,,30438.467516136803,,20.0572917416402,,27215033806.1779,24.596459992659952,,0.0136284253731842,,13.327127863676626,.,0.3,1.0,0.0,0.666666687,0,15.7068,.,.,0.00681857,0.0,5,0,0.930588067,0.024,7.619233416,0.0118,0.03,0.13,0.21,0.176199999,0.01,0.656622,0,51.93,0.0,68.8,.,.,0,2.0,0.0,0.8255,0.773,0.003,1,4.475395087,0.3662,573,0.0593368,0.843,2.11,92,0.12,0,13.97011913,.,0.0,20.02916118,0.002105348,0.296551724,.,0.2,1,1,.
CZE,0.0,0.0,0.0,0.0,0.037037037,57.2,38.2,4.1,0.0,76.9749,434.554,76.9749,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,65.0,,,0.0,81.4133,0.48,0.74126226,0.74106395,0.7240771,0.72416943,7.9776626,9.972078,23.932987,23.932987,616434.0,770542.5,1849301.9,0.0,0.0,7.7982693,0.39078438,0.1353225,0.0,57.115093,0.21199,77270.0,49.75,15.0,30823.002,0.11843518,8.779557,8.779942,0.0,1.0,0.0,0.0,0.0,4.6,39.2,0.0,56.2,9858071.0,10698896.0,,22843.0385885642,,24.3486086708993,,244395294183.036,28.681117487062284,,0.0016383415784055,,16.10380106849379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,63.64003,1.0,1.0,1.0,0.95454544,77.1,19.0,3.1,0.0,41.1696,255.971,46.98,30.505297,,,0.0,0.0,5580.0,0.0,0.0,0.0,0.0,,,,,,,,,20.0,,,0.0,70.12492,0.49,0.73323935,0.7336643,0.7233314,0.72395843,8.59722,10.03009,25.79166,25.79166,2998452.5,3498194.5,8995357.0,0.0,0.0,8.265703,0.28374946,0.2093755,0.0,62.540558,0.31682,348770.0,51.0,10.5,117988.9,0.08862069,8.987197,8.990504,0.0,1.0,0.0,0.0,0.0,46.4,35.0,0.02,18.58,78169289.0,83240525.0,19681.3233856845,45065.0824555703,32.7042447358704,20.3509061499356,1538475055638.03,3751241122769.96,23.46352915362945,0.0167067747458848,0.0012579397821372,9.887425413552933,18.174387404594192,240,0.04375527,0.0,0.0,1,0,6.3008,120.6083,239.8791,0.00290832,0.0,5,0,0.734768867,0.045000002,8.790269111,0.0211,0.04,0.17,0.15,0.083899999,0.06,0.484274,0,66.44,0.0,69.4,0.94,0,0,0.0,0.0,0.3965,0.0,0.949,1,3.49356456,0.213300005,55433,0.1084553,0.109,1,109,0.08,1,19.71319947,0,0.0,12.20499334,0.00207179,0.482758621,0,0,0,0.8,0
DJI,,,,,0.0,,,,1.0,35.2189,35.2859,1762.04,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,26.0,3.258096,,,,,,171.0,,,1.0,284.39404,0.01,0.7700091,,0.7809053,,0.30744636,0.6148927,1.2297854,1.2297854,7126.6064,14253.213,28506.426,0.0,1.0,27.889858,0.4418575,0.19706869,0.0,20.229816,0.33753,23180.0,11.5,42.5,9.271999,0.1855183,,,1.0,0.0,0.0,0.0,0.0,0.2,6.7,90.6,2.5,159662.0,988002.0,,,,,,,19.08762825092825,,0.0371250527100839,,11.980814359740398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,,,,,0.8888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.7345,,0.60918844,,,,0.44332135,0.88664275,1.329964,1.329964,332.491,664.98206,997.473,1.0,0.0,,,,,,,750.0,15.416667,-61.333332,50.025,,,,0.0,0.0,0.0,0.0,1.0,8.3,89.8,0.0,1.9,71084.0,71991.0,,5741.218243398871,,,,413316042.560528,,,0.0002536088508817,,11.171617555305376,.,0.5,1.0,0.0,0.666666687,0,.,.,.,.,0.0,5,0.29,.,.,.,.,.,.,.,.,.,0.8872,0,.,1.0,.,.,.,0.01,2.0,0.0,.,0.0,0.778,.,.,.,.,.,0.807,2,.,0.45,.,.,.,0.0,.,.,0.137931034,.,.,.,.,.
DNK,25.0,1.0,1.0,1.0,0.95454544,58.665897,27.243576,10.341767,0.0,22.7144,22.5183,295.581,26.177177,10.0,10.0,0.0,0.0,141000.0,0.0,0.0,0.0,0.0,,,,,,,,,5.0,,,0.0,54.91505,0.53,0.7311118,0.7312905,,,4.713646,9.427292,14.140938,14.140938,200000.0,400000.0,600000.0,0.0,0.0,7.945315,0.0242489,0.01870212,0.0,57.177498,0.35444,42430.0,56.0,10.0,22810.367,0.02767103,8.612503,8.623533,0.0,1.0,0.0,0.0,0.0,95.2,0.6,0.2,4.0,4928757.0,5831404.0,30541.9295752224,63880.093657245,26.7461771175803,23.174762330747495,150533749187.384,372510633673.233,22.08498607848808,0.0148675853456887,0.0033690820067384,10.326855758676611,15.410597384411362,765,0.0275,0.0,0.0,1,0,9.2622,112.1376,0,0.00371441,0.0,4,0,0.767326593,0.028000001,8.818778169,0.0339,0.05,0.18,0.16,0.095099999,0.1,0.984086,0,70.24,0.0,72.2,1,0,0.01,0.0,0.0,0.5835,0.0,0.005,1,6.936782536,0.252400011,4581,0.105872102,0.46,1,112,0,0,17.24845076,0,0.0,48.11895196,-0.005370423,0.420689655,0,0,0,0.78,0
DOM,13.155673,0.0,1.0,1.0,0.071428575,45.899998,12.1,1.9,1.0,29.725,30.1839,1013.64,19.139626,-3.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,4.867535,1.0,1.0,1.0,1.0,3.0,116.0,33.6,70.61,0.0,251.88348,0.92,0.61540747,0.73029333,,,0.44332135,0.88664275,1.329964,1.329964,21447.887,42895.777,64343.66,0.0,1.0,24.553793,0.31058496,0.5938541,1.0,125.97045,0.03332,48380.0,19.0,-70.666664,10958.069,0.31631872,7.3132205,8.533565,0.0,0.0,0.0,0.0,1.0,1.4,96.6,0.0,2.0,4499722.0,10847904.0,1699.03077241541,7389.6905323498495,19.1434533826994,25.381662572683897,7645166145.31461,80162653484.6401,21.560818505380876,0.0298370213873191,0.0177549024008643,7.437813233582902,15.319526175054444,2420,0.01083056,0.0,0.0,0.833333313,0,14.9737,78.66887,0,0.02682861,0.0,3,0,1.814336061,0.039000001,7.085901464,0.0187,0.05,0.17,0.18,0.120299999,0.01,0.956888,0,90.57,1.0,52.2,1,0.938,0.02,0.0,0.0,0.431,0.0,0.87,0.98,11.2942313,0.468199998,3231,0.0303312,0.804,2.17,129,0.36,0,15.16644843,0,0.0,127.5596607,0.065232515,0.179310345,0,0.04,1,0,0
DZA,0.0,0.0,0.0,0.0,0.0,13.0,2.2,0.3,0.16665584,765.93,765.875,1353.35,36.64907,-9.0,-9.0,0.0,0.0,339000.0,0.0,0.0,0.0,0.0,,78.2,4.35927,1.0,0.047186,0.0,0.0,1.0,152.0,43.8,68.89,0.0,209.10266,0.04,0.7380005,0.7380005,0.733794,0.733794,0.8397222,0.8397222,0.6297917,0.6297917,2000000.0,2000000.0,1500000.0,0.0,1.0,22.768929,0.56261605,0.3268848,0.0,8.670195,0.86241,2381740.0,28.0,3.0,76692.03,0.08436147,8.294049,8.294049,1.0,0.0,0.0,0.0,0.0,0.0,0.5,99.1,0.4,14464992.0,43851043.0,2708.46404566189,4362.73953647076,36.64906885273479,44.8293102122622,39177910752.7868,191310679011.57895,35.401037635149486,0.00957996675558,0.0224291773964402,7.904136980378827,16.48724194333311,1675,0.29372404,0.0,0.0,0.166666672,0,220.5315,74.74003,1.552617,0.02841708,0.0,0,0,2.003100395,0.029999999,7.451822237,0.0297,0.23,0.15,0.17,0.107300001,0,0.764248,0,97.96,0.0,47.3,0.05,0.09,0.2,2.0,1.0,0.4695,0.0,0.83600003,0.46,6.451052924,0.437299997,10800,0.0385185,0.933,5.83,190,0.12,1,16.73912365,1,0.0,41.61608383,0.100144848,0.35862069,0.12865,0,1,0,0
ECU,33.928574,0.0,0.0,0.0,0.071428575,53.76238,9.481094,2.2228687,1.0,185.354,188.69,623.703,15.531661,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,71.0,71.0,4.2626800000000005,1.0,0.368411,1.0,1.0,3.0,139.0,45.6,69.52,0.195974,273.24512,0.52,0.60609674,0.65408444,0.59835434,0.6428575,0.72243893,1.4448779,2.167317,2.167317,200000.0,400000.0,600000.0,0.0,1.0,22.407665,0.74211675,1.038163,0.5125517,155.37218,0.34267,276840.0,2.0,-77.5,16167.456,0.35542932,8.294049,8.502429,0.0,0.0,0.0,0.0,1.0,1.9,96.4,0.0,1.7,6069375.0,17643060.0,2487.7336881864603,4628.31668018853,19.5599154460542,23.117457785052,15098988653.7367,81657668887.567,23.39517049704225,0.0124938258633215,0.0215711010558561,7.8191274096197745,15.618766192330757,4580,0.32535714,0.0,0.0,0.666666687,0,62.7328,30.30622,11.7418,0.0294809,0.0,3,0,1.848139763,0.021,7.286876412,0.0155,0.08,0.11,0.17,0.132500001,0.03,0.784258,0,26.54,1.0,53.4,0.38,0.2135,0.1,0.0,0.0,0.4015,0.0,0.71399999,0.83,15.70970758,0.448199987,4413,0.0401088,0.983,3.72,113,0.56,1,15.67918642,0,1.0,246.7949121,0.030228086,0.386206897,0.4694,0,0,0.84,0.3890733
EGY,11.904762,0.0,0.0,0.0,0.0,4.0548263,4.4393835,2.6947265,0.19827393,224.202,331.364,297.883,13.94847,-7.0,-7.0,0.0,0.0,111000.0,0.0,0.0,0.0,0.0,67.8,67.8,4.216562000000001,1.0,0.239163,0.0,7.0,7.0,109.0,50.5,66.27,0.0,223.94995,0.00416,0.75570923,0.7563203,0.76004946,0.7607694,4.0182834,5.022854,4.0182834,4.0182834,4000000.2,5000000.0,4000000.2,0.0,1.0,22.031137,0.2713458,0.215203,0.0,2.910641,0.37523,995450.0,27.0,30.0,27972.145,0.09016253,8.881836,8.864888,1.0,0.0,0.0,0.0,0.0,0.2,0.2,81.8,17.8,34513851.0,102334403.0,730.423016010047,3058.31071773864,14.6020739630185,13.8213058419244,25209711141.5414,312970401488.285,20.253242291673896,0.0290539479037137,0.0219756889701256,6.5936238402985845,17.356871279691624,3250,0.02306182,1.0,0.0,0.166666672,0,38.4017,64.09662,21.52594,0.02379224,0.0,1,0,1.802369714,0.061999999,6.695798917,0.045000002,0.01,0.21,0.28,0.176999999,0.05,0.67591,0,287.27,0.0,46.4,0.39,0.028,0.03,1.0,0.0,0.358,0.066,0.97000003,0.66,9.214770546,0.424299985,25922,0.0328293,0.729,5.11,168,0.16,1,16.85864623,0,0.0,84.91199621,0.010265417,0.406896552,0.124875,0.08,1,0,0
ERI,,,,,0.03125,,,,1.0,93.3819,93.3543,1210.58,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,182.0,,,0.7645485,283.20444,0.06,0.7690088,0.7682904,0.7791992,0.777931,0.45413262,0.90826523,1.8165305,1.8165305,45867.395,91734.79,183469.58,0.0,1.0,26.98546,0.56432045,0.5268354,0.0,20.231846,0.59234,101000.0,15.0,39.0,5595.4,0.23141149,,,1.0,0.0,0.0,0.0,0.0,,0.0,33.0,,1310947.0,,,,,,,,21.82236829756787,,,,14.086260334773794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,37.812565,0.0,0.0,0.0,0.0,47.51287,3.55122,2.2654333,0.0,122.18,141.557,271.12,27.576052,-7.0,-7.0,0.0,0.0,575.0,0.0,0.0,0.0,3.0,,,,,,,,,44.0,,,0.0,134.85617,0.56,0.7256513,0.7260023,0.70846736,0.70900255,9.018036,8.016032,13.026052,13.026052,4500000.0,4000000.0,6500000.0,0.0,1.0,14.138836,0.5339399,0.3427939,0.0,55.72676,0.22311,499000.0,40.0,-4.0,133981.5,0.31377453,8.881836,8.882334,0.0,1.0,0.0,0.0,0.0,0.1,96.9,0.0,3.0,33814531.0,47351567.0,13571.9176366972,29600.3523833162,28.358709532718,20.4584478175052,458928029655.545,1401623069102.21,24.205840043072328,0.0157179168957919,0.0067569114480061,9.515758057266284,17.33640117931049,1420,0.27451613,0.0,0.0,0.166666672,0,16.3993,98.96389,39.98909,0.00882992,0.0,5,0,1.055704713,0.02,8.046549357,0.0097,0.03,0.1,0.11,0.0793,0.04,1,0,48.44,0.0,68.9,0.46,0,0.01,0.0,0.0,0.2705,0.0,0.72799999,1,9.586527695,0.274100006,30455,0.082055502,0.465,2.39,89,0.08,0,18.37055482,0,0.0,91.90151325,-0.02567675,0.848275862,0,0,0,0.78,0
EST,0.0,0.0,0.0,0.0,0.037037037,61.66985,25.131182,7.910737,0.0,84.0404,507.834,168.64,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,21.0,,,0.0,52.00741,0.38,0.73076355,0.7316358,0.7314046,0.73356706,0.4192872,0.8385744,2.5157232,2.5157232,17773.584,35547.168,106641.51,0.0,0.0,5.2944508,0.04822372,0.03139919,0.0,52.444866,0.18119,42390.0,59.0,26.0,8431.371,0.02677593,8.216088,8.323123,0.0,1.0,0.0,0.0,0.0,66.0,2.0,0.01,31.99,1360076.0,1331057.0,,20161.6512475064,,30.664488626910305,,26836307024.5521,29.245406614606285,,-0.0004312513264012,,14.123051138503817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,17.132717,0.0,0.0,0.0,0.032258064,,,,1.0,492.78,492.893,1911.57,,-9.0,-9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,3.258096,1.0,0.021018,0.0,5.0,7.0,127.0,116.0,43.32,0.5806273,298.47333,0.42,0.7743011,0.7743011,0.7825676,0.7825676,0.45413262,0.90826523,1.8165305,1.8165305,454132.62,908265.25,1816530.5,0.0,1.0,23.64513,1.1027966,0.6361569,0.2146411,63.285618,0.48963,1000000.0,8.0,38.0,100000.0,0.24749132,8.294049,8.294049,1.0,0.0,0.0,0.0,0.0,3.8,0.7,31.4,64.1,28415080.0,114963583.0,,623.095140151288,,30.7521539710326,,71633249861.6793,8.962236504848935,,0.0283482850801657,,17.16243054812379,5740,0.67708246,0.0,0.0,0.166666672,0,41.3377,18.25667,25.69841,0.02277152,0.0,0,0,1.759924769,0.022,5.549076085,0.0095,0.01,0.1,0.16,0.1325,0,0.340666,0,137.92,0.0,42.2,0.02,0.85,0,0.0,0.0,0.2465,0.363,0.002,0.07,5.807738006,0.445100009,24191,0.0254227,0.983,6.67,98,0.72,0,15.64281203,1,0.0,33.72982075,-0.038946468,0.103448276,0.9492,1,1,0,0.2629544
FIN,46.210922,1.0,1.0,1.0,0.95454544,68.86107,24.0,6.1,0.0,181.67,494.863,314.631,30.706713,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,11.0,,,0.0,43.60601,0.03,0.7301581,0.7301581,0.73124224,0.73124224,,,0.3283102,0.3283102,,,100000.0,0.0,0.0,1.0262134,0.17316511,0.110199,0.0,46.18288,0.83964,304590.0,64.0,26.0,21839.104,0.04397741,8.160519,8.160519,0.0,1.0,0.0,0.0,0.0,93.1,0.1,0.0,6.8,4606307.0,5530719.0,18267.4580230855,47863.7980745102,31.8245159199546,23.9915440882312,84145519763.9448,264721217422.857,25.571960004118157,0.0194515271683013,0.0036645254910734,9.812876505761295,15.3429370093344,1640,0.105,0.0,0.0,0.833333313,0,68.7562,33.61261,7.619513,0.00421488,0.0,4,0,0.6486727,0.018999999,8.573762543,0.044599999,0.04,0.15,0.13,0.062400002,0.07,0.964614,0,59.9,0.0,68.5,0.29,0,0,1.0,0.0,0.4775,0.017,0,0.97,7.336706047,0.304100007,4430,0.072008997,0.333,1.83,126,0,0,16.96991741,0,0.0,53.82725562,0.002455212,0.586206897,0,0,0,0.78,0
FJI,,1.0,0.0,1.0,0.5,66.399925,7.9180875,3.0650187,,,,,22.158499,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.4,2.433613,,,9.0,0.0,1.0,60.0,,,,249.97873,,0.63098115,0.6746733,,,0.71428573,1.2755102,1.5306122,1.5306122,13050.0,23303.57,27964.285,1.0,0.0,24.496235,0.1671021,,,191.02933,,18270.0,18.0,178.0,2000.565,0.22243376,,,0.0,0.0,0.0,1.0,0.0,39.1,9.0,7.8,44.1,520561.0,896444.0,2207.4906796080604,3808.20365540165,,15.8614208942258,1149133555.66745,3413841317.66288,19.297580076190084,0.0109657107609659,0.0109298743735308,7.699611710321098,13.162662355175163,.,0.8,1.0,0.0,0.833333313,0,45.6853,.,.,0.02236339,1.0,5,0.01,1.469485879,.,7.65349491,0.0128,0.05,0.14,0.17,0.124099999,0,0.681836,0.114,46.03,0.0,59.2,.,.,0.04,2.0,0.0,0.9905,0.0,0,0.85,6.642858498,0.479799986,394,0.025380701,0.977,2.61,93,0,0,13.62984582,.,0.0,44.12756902,0.0504,0.117241379,.,0,0,0.34,.
FRA,56.49534,1.0,1.0,1.0,0.95454544,82.44079,12.207735,4.501201,0.0,53.7245,183.881,83.0762,25.718819,8.0,8.0,0.0,0.0,3090.0,0.0,1.0,0.0,0.0,,2.88,1.05779,,,,,,34.0,,,0.0,91.52472,0.68,0.7293011,0.72942877,0.7142469,0.7153918,9.089256,11.816033,27.267769,27.267769,5000000.0,6500000.0,15000000.0,0.0,1.0,10.526461,0.366072,0.3732236,0.0,71.41478,0.21456,550100.0,46.0,2.0,184393.52,0.16338444,8.922658,8.898557,0.0,1.0,0.0,0.0,0.0,2.4,76.4,3.0,18.2,51957747.0,67391582.0,19984.5861409616,40520.6517970746,28.1921748953842,24.057602041644696,1038354070611.79,2730750828276.0,23.84189594639371,0.0142374097136792,0.0052153384442323,9.902716562447718,17.765941388549454,440,0.14548394,0.0,0.0,0.833333313,0,12.0414,88.70178,88.60191,0.00707771,0.0,4,0,0.925052285,0.059,8.669570872,0.0231,0.03,0.17,0.16,0.0799,0.08,0.94334,0,82.04,0.0,70.4,0.85,0,0,0.0,0.0,0.3055,0.0,1.00399995,1,6.417260754,0.263799995,45684,0.116386503,0.253,1,98,0,0,19.39907428,0,0.0,41.18123558,0.000388734,0.786206897,0,0,0,0.8,0
GAB,0.0,0.0,0.0,0.0,0.032258064,14.002131,2.5632641,0.8766416,1.0,236.024,240.752,595.014,31.9553,-9.0,-9.0,0.0,1.0,579000.0,0.0,0.0,0.0,0.0,280.0,280.0,5.634789,,0.261791,0.0,0.0,1.0,170.0,87.3,52.42,1.0,237.3978,0.18,0.74879223,0.74937433,0.739282,0.74064463,0.19119325,0.764773,1.529546,1.529546,49264.766,197059.06,394118.12,0.0,1.0,24.688751,0.3742385,0.2085247,1.0,156.95178,0.49673,257670.0,1.0,11.75,3246.642,0.08556245,8.006368,8.021305,1.0,0.0,0.0,0.0,0.0,18.8,65.2,0.8,15.2,589317.0,2225728.0,7205.87020310234,8839.76017048115,31.9553001217206,21.6137370680025,4246541810.481661,19674901724.7247,31.31075810494922,0.0040956392283866,0.0269338334573898,8.882651278809197,13.286719518195424,5790,0.79666667,0.0,0.0,0.166666672,0,530.1852,3.438613,1.382892,0.03023303,0.0,5,0,1.437937617,0.01,7.489412084,0.022399999,0.13,0.15,0.09,0.060600001,0,0.877262,0,115.11,0.0,40.9,0.27,1,0.22,2.0,1.0,1.055,0.0,0.06,1,6.912998762,0.324600011,486,0.063786,0.91,6,169,0.12,0,13.67562071,0,0.0,47.78955188,0.073570676,0.234482759,0.6198,0,0,0,0.1669023
GBR,50.813717,1.0,1.0,1.0,0.95454544,62.591824,28.204124,7.4837666,0.0,29.4346,45.0175,111.003,20.09336,10.0,10.0,0.0,0.0,71700.0,0.0,0.0,0.0,0.0,,2.55,0.9360933,0.0,,,,,7.0,,,0.0,56.198067,0.49,0.7274488,0.7275786,,,2.893399,7.026826,17.567064,17.567064,700000.0,1700000.0,4250000.0,1.0,0.0,8.462253,0.12493271,0.1186305,0.0,96.35587,0.41593,241930.0,54.0,-4.0,58764.8,0.11181667,8.612503,8.621426,0.0,1.0,0.0,0.0,0.0,16.1,13.1,1.4,69.4,55663250.0,67215293.0,17874.813416953402,39102.8965780963,24.1804705147748,16.9637965965591,994970207931.23,2628312650645.44,20.114024400182757,0.0157792763873039,0.0037787345112278,9.791147929295333,17.83483070258375,320,0.10628458,0.0,0.0,1,0,4.6132,199.0842,537.0287,0.00276849,0.0,4,0.97,0.893226802,0.063000001,8.828054537,0.034499999,0.08,0.2,0.2,0.1005,0.09,0.829218,0,79.31,0.0,70.8,1,0,0.02,0.0,0.0,0.45,0.0,0,0.92,7.683768434,0.232500002,52372,0.116837204,0.167,1,99,0.24,1,19.69418191,0,0.0,59.04029734,-0.013620205,0.551724138,0,0,0,0.78,0
GEO,0.0,0.0,0.0,0.0,0.037037037,,,,0.0,240.333,239.982,583.045,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,9.0,,,0.0,121.2428,0.48,0.74228275,0.74254113,0.7458999,0.7459101,0.63829786,1.0638298,2.6595745,2.6595745,44355.316,73925.53,184813.83,0.0,0.0,7.3989997,1.3798996,0.76194847,0.0,87.02828,0.41273,69490.0,42.0,43.499905,7928.809,0.5690665,8.699514,8.75857,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,88.0,4119900.0,3714000.0,2498.12235924596,4678.66257824508,,26.1517543996286,10292014307.8574,17376552815.6022,25.46541848550461,0.012628532921016,-0.0020722385088144,7.823294672370593,15.231339449186484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,20.319418,1.0,1.0,1.0,0.0,5.8,16.1,0.4,1.0,277.571,278.51,748.374,14.1504,3.0,3.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,668.0,668.0,6.504288,1.0,0.192991,0.0,0.0,1.0,64.0,65.8,60.0,1.0,254.76007,0.45,0.74177074,0.7418905,0.72738713,0.727641,1.1814605,2.7567413,4.3320217,4.3320217,268829.53,627268.94,985708.25,1.0,0.0,27.243994,0.18577497,0.08100254,0.8288805,100.88946,0.2452,227540.0,8.0,-2.0,39500.945,0.05559295,8.160519,8.156682,1.0,0.0,0.0,0.0,0.0,25.8,18.7,15.7,39.8,8735493.0,31072945.0,1077.1395692556698,1848.2502955922896,14.165559982293,,9409345167.25593,57430579781.1731,17.95717999368857,0.0108571239082206,0.0257036475334304,6.98206425952687,15.9829049395684,5190,0.70607077,1.0,0.0,0.166666672,0,33.5902,77.20781,24.16616,0.02727602,0.0,3,0,1.902853489,0.017999999,6.795705775,0.026000001,0.02,0.13,0.11,0.065,0,0.821496,0,158.22,0.0,45.2,0.19,1,0.02,2.0,0.0,0.3845,0.0,0,0.38,25.81073027,0.445899993,6774,0.025391201,0.994,5.89,248,0.55,0,15.61655281,0,0.0,666.1937971,0.029546417,0.310344828,0.5747,0,0,0.22,0.9240435
GIN,,0.0,0.0,0.0,0.032258064,,,,1.0,280.026,307.53,309.845,,-9.0,-9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,483.0,483.0,6.180016999999999,,0.140641,0.0,0.0,1.0,178.0,124.0,46.5,1.0,263.11,0.57,0.7309029,0.73179257,0.7109438,0.7127365,1.1814605,2.7567413,4.3320217,4.3320217,290308.47,677386.44,1064464.4,0.0,1.0,25.785257,0.38598803,0.2020994,0.9878578,146.57538,0.16654,245720.0,11.0,-10.0,9755.084,0.08287577,8.0864105,8.055634,1.0,0.0,0.0,0.0,0.0,0.1,1.1,69.0,29.8,4154606.0,13132792.0,,959.978704251001,,20.2018025922727,,12607200647.3579,21.423872735378435,,0.0232848502515037,,15.23972815626403,4920,0.75983,0.0,0.0,0,0,78.3546,26.93913,12.10934,0.01917827,0.0,5,0,.,0.025,6.326149473,.,.,0.075,0.095,.,0,0.511128,0,156.68,0.0,.,0.17,1,0.08,2.0,0.0,0.2965,0.0,0,.,.,0.414299995,3136,0.0248724,.,7,.,0.16,.,14.37685285,0,0.0,.,.,0.365517241,0.7507,0,0,0.2,0.4524797
GMB,0.0,1.0,0.0,0.0,0.4,1.1849912,3.3033004,0.22021535,1.0,26.2397,139.565,36.5791,6.889812,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1470.0,1470.0,7.293017999999999,1.0,0.3997699999999999,10.0,0.0,1.0,147.0,122.0,47.0,1.0,262.7,0.46,0.7286234,0.7285897,0.70749897,0.70749897,1.1814605,2.7567413,4.3320217,4.3320217,11814.605,27567.412,43320.22,1.0,0.0,27.913797,0.03343553,0.01448308,0.992629,78.245056,0.0798,10000.0,13.466666,-15.5,2850.0,0.01265083,8.006368,8.012184,1.0,0.0,0.0,0.0,0.0,0.4,1.9,84.8,12.9,464404.0,2416664.0,743.2164683205299,791.953878049397,6.889857732905001,,345152700.753927,1913886426.74237,14.152800331470118,0.0012711233816202,0.0335378988442094,6.610987345920074,13.048510142033209,4660,0.78037037,1.0,0.0,0.833333313,0,28.4091,63.06274,25.30601,0.03000359,0.0,5,0,1.871802211,0,6.400257445,0.0211,0.01,0.22,0.2,0.1759,0,0.678592,0.001,162.64,0.0,32.3,1,1,0,2.0,0.0,0.685,0.0,0,0.12,9.081664914,0.394499987,352,0.03125,1,2.44,150,0.05,0,12.26388862,0,0.0,82.47663762,-0.006317891,0,0.3605,0,0,0.22,0.6478711
