code,marketref,dem,demCGV,demBMR,demreg,lp_bl,ls_bl,lh_bl,tropicar,distcr,distc,distr,ginv,polity,polity2,landlock,yellow,oilres,goldm,iron,silv,zinc,mortality,imputedmort,logem4,excolony,lt100km,democ1,democ00a,cons00a,currentinst,imr95,leb95,malfal,uvdamage,suitavg,pdiv,pdiv_aa,pdivhmi,pdivhmi_aa,pd1,pd1000,pd1500,pd1500.1,pop1,pop1000,pop1500,legor_uk,legor_fr,temp,elevavg,elevstd,kgatr,precip,suitgini,area,abslat,cenlong,area_ar,rough,ln_yst,ln_yst_aa,africa,europe,asia,oceania,americas,pprotest,pcatholic,pmuslim,pother,population_initial,population_now,gdp_pc_initial,gdp_pc_now,capital_growth_pct_gdp_initial,capital_growth_pct_gdp_now,gdp_initial,gdp_now,investment_rate,gdp_growth,pop_growth,lgdp_initial,lpop_initial,AIRDIST,AVELF,BRIT,BUDDHA,CIV72,CONFUC,DENS60,DENS65C,DENS65I,DPOP6090,EAST,ECORG,ENGFRAC,FERTLDC1,GDE1,GDPCH60L,GEEREC1,GGCFD3,GOVNOM1,GOVSH61,GVR61,H60,HERF00,HINDU00,IPRICE1,LAAM,LIFE060,LT100CR,MALFAL66,MINING,NEWSTATE,OIL,OPENDEC1,ORTH00,OTHFRAC,P60,PI6090,POP1560,POP60,POP6560,PRIEXP70,PRIGHTS,RERD,REVCOUP,SCOUT,SIZE60,SOCIALIST,SPAIN,SQPI6090,TOT1DEC1,TOTIND,TROPPOP,WARTIME,WARTORN,YRSOPEN,ZTROPICS
CHL,26.492008,1.0,1.0,1.0,0.875,57.2,26.6,3.8,0.18587278,112.301,111.604,1532.05,19.204185,6.0,6.0,0.0,0.0,21700.0,0.0,0.0,0.0,0.0,68.9,68.9,4.232656,1.0,0.6601819999999999,1.0,5.0,7.0,37.0,12.8,74.94,0.0,162.58899,0.14,0.5787297,0.67198443,0.5741804,0.65961355,0.26709402,0.53418803,0.80128205,0.80128205,200000.0,400000.0,600000.0,0.0,1.0,8.458037,1.1267796,1.222497,0.0,95.09665,0.78216,748800.0,30.0,-71.0,19768.32,0.3566467,8.294049,8.70207,0.0,0.0,0.0,0.0,1.0,1.9,82.1,0.0,16.0,9783134.0,19116209.0,4552.25558836437,14050.1761838708,17.128288301460902,19.8233161499166,44535326423.2174,268586104417.696,20.332215754524675,0.0227961925297557,0.0134876837349715,8.423378122816091,16.096170440575648,8290,0.050625,0.0,0.0,0.833333313,0,98.3452,9.127183,15.93215,0.01830214,0.0,5,0,1.396739602,0.023,7.967280179,0.0262,0.06,0.12,0.2,0.1518,0.04,0.922614,0,60.49,1.0,57.3,0.68,0,0.16,0.0,0.0,0.29,0.0,0.93099999,1,41.64233208,0.393900007,7614,0.047412701,0.956,5.78,100,0.2,0,16.90502412,0,1.0,1734.083821,-0.031845376,0.282758621,0.054,0.04,1,0.42,0
CHN,0.0,0.0,0.0,0.0,0.0,33.306858,11.904527,1.002042,0.031915348,765.061,1090.58,871.236,29.024277,-8.0,-8.0,0.0,0.0,19800.0,0.0,5.0,0.0,3.0,,118.0,4.770685,0.0,,,,,91.0,,,0.0157621,164.60214,0.34,0.6987618,0.6987618,0.706246,0.706246,5.6821713,7.0759115,11.793186,11.793186,53000340.0,66000424.0,110000710.0,0.0,0.0,6.4549265,1.7335886,1.738993,0.0031027,49.430614,0.55619,9327480.0,35.0,105.0,1371139.5,0.23477879,9.1049795,9.1049795,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4,97.6,818315000.0,1402112000.0,228.51534633607,8405.18047349612,32.8694767118481,,186997535637.001,11785004404054.6,36.11837585757878,0.0747628181633759,0.0108279545787872,5.43160336928723,20.522757906015173,2100,0.23332644,0.0,0.319999993,0,0.319999993,14.1848,282.7856,65.44478,0.01796106,1.0,0,0,1.681386352,.,6.340359304,.,0.13,0.09,0.12,.,.,0.65439,0,80.03,0.0,46.4,0.12,0.04784,0.05,0.0,0.0,0.067,0.0,0.94,.,3.887909593,0.389800012,657492,0.048318502,0.296,6.33,.,0.04,.,19.73654718,1,0.0,15.115841,0.0128,0.117241379,0.07848,.,0,0,0.0004092
CIV,33.66133,0.0,0.0,0.0,0.032258064,5.886669,2.8361387,1.0761001,1.0,272.162,280.47,400.012,22.495653,-9.0,-9.0,0.0,1.0,7460.0,0.0,0.0,0.0,0.0,668.0,668.0,6.504288,1.0,0.1710559999999999,0.0,0.0,1.0,177.0,87.3,46.72,1.0,251.2374,0.3,0.7385822,0.74001354,0.7212721,0.724082,1.1814605,2.7567413,4.3320217,4.3320217,375704.44,876643.75,1377582.9,0.0,1.0,26.21883,0.28667793,0.1299153,1.0,114.9125,0.32792,318000.0,8.0,-5.0,31005.0,0.05116333,8.160519,8.174421,1.0,0.0,0.0,0.0,0.0,4.7,18.5,24.0,52.8,5102070.0,26378275.0,1940.4014751294296,1714.54069898774,22.4956529301408,,9900064154.21359,45226626056.5907,16.64380575353649,-0.0024719330664251,0.0334036700526501,7.570650176590021,15.445156897699537,5260,0.8565299,0.0,0.0,0.166666672,0,83.7062,30.95911,10.78493,0.03845283,0.0,5,0,2.000668764,0.01,7.021083964,0.035399999,0.03,0.15,0.12,0.078600001,.,0.903102,0,90.35,0.0,39.5,0.18,1,0.03,2.0,0.0,0.641,0.0,0,.,6.643838032,0.408399999,3799,0.023690401,0.94,5.83,185,0,1,15.26357712,0,0.0,44.14058379,7.45058e-09,0.213793103,0.6466,0,0,0,0.7828937
CMR,0.0,0.0,0.0,0.0,0.032258064,21.448267,3.2739508,0.21813726,1.0,405.651,453.531,729.264,16.027657,-7.0,-7.0,0.0,1.0,31900.0,0.0,0.0,0.0,0.0,280.0,280.0,5.634789,1.0,0.09824,0.0,0.0,1.0,161.0,74.4,54.73,1.0,264.02365,0.23,0.75121886,0.7502155,0.74432033,0.7427715,0.19119325,0.764773,1.529546,1.529546,88981.34,355925.38,711850.75,0.0,1.0,25.012573,0.5613708,0.2913535,0.9128441,129.9425,0.50697,465400.0,6.0,12.0,59617.742,0.11221094,8.006368,8.005067,1.0,0.0,0.0,0.0,0.0,18.1,35.0,22.0,24.9,6519754.0,26545864.0,930.99026227326,1490.82964058637,16.0276563140363,23.8006947146954,6069827486.4171295,39575360886.1747,21.08272534837948,0.0094612620572291,0.0284787267938748,6.836248817795148,15.69034720312969,5470,0.85204545,0.0,0.0,0.5,0,87.8611,19.58585,11.87936,0.02634325,0.0,5,0,1.740466237,0.024,6.463029457,0.0221,0.04,0.16,0.19,0.1439,0,0.899314,0,139.59,0.0,43.4,0.13,1,0.09,2.0,0.0,0.4345,0.0,0.007,0.65,6.888900542,0.405200005,5297,0.0347366,0.915,6.06,187,0.08,1,15.03792536,0,0.0,47.45695068,0.013976187,0.324137931,0.8641,0,0,0.16,0.2409442
COG,,0.0,0.0,0.0,0.032258064,15.508538,4.0712957,0.65985215,1.0,507.805,530.122,612.169,24.210518,-7.0,-7.0,0.0,1.0,338000.0,0.0,0.0,0.0,0.0,240.0,240.0,5.480639,1.0,0.047893,5.0,0.0,1.0,181.0,89.5,48.55,1.0,243.5234,0.07,0.7517414,0.7517414,0.7444071,0.7444071,0.19119325,0.764773,1.529546,1.529546,65292.496,261169.98,522339.97,0.0,1.0,24.472746,0.42508623,0.1269713,1.0,136.22838,0.58123,341500.0,1.0,15.0,4883.4497,0.05879196,8.006368,8.006368,1.0,0.0,0.0,0.0,0.0,24.9,53.9,0.4,20.8,1326894.0,5518092.0,1799.0472162341698,2049.41786354009,24.2105182894737,24.855225316837306,2387144956.93783,11308876317.4576,33.97830221572983,0.0026093701631013,0.0289139469502912,7.495012479428335,14.098351430696534,6330,0.66927536,0.0,0.0,0,0,345.6478,12.39925,2.793233,0.02747309,0.0,1,0,1.771896839,0.025,7.023758955,0.031099999,0.04,0.18,0.32,0.2669,0,0.95125,0,143,0.0,47.3,0.05,1,0.17,2.0,0.0,0.883,0.0,0,0.78,5.344503171,0.408199996,988,0.034412999,0.71,6.56,191,0.36,1,13.91944165,1,0.0,28.56371415,0.016126819,0.117241379,0.862,0,0,0,0.0275564
COL,10.119047,1.0,1.0,1.0,0.875,56.823887,12.395759,1.9423836,1.0,200.267,422.649,329.266,20.336226,7.0,7.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,71.0,71.0,4.2626800000000005,1.0,0.159722,4.0,3.0,5.0,45.0,30.0,70.43,0.2616948,253.3493,0.33,0.607694,0.6854235,0.60234755,0.67332625,0.28882256,0.5776451,0.9627419,0.9627419,320448.62,640897.25,1068162.1,0.0,1.0,24.957228,0.4754667,0.7383939,0.8311759,215.84845,0.54296,1109500.0,4.0,-72.0,30067.451,0.23183145,8.131531,8.51665,0.0,0.0,0.0,0.0,1.0,0.9,96.6,0.2,2.3,21480064.0,50882884.0,2879.2512570657204,7228.43654618322,20.2322848879248,18.833794915232502,61846501273.8521,367803698280.801,20.042958690353345,0.0185803557522872,0.0173976331302501,7.965285559143771,16.882635807116326,4030,0.05579602,0.0,0.0,0.833333313,0,65.1672,30.34203,15.43562,0.02443978,0.0,3,0,1.685101748,0.017000001,7.428927195,0.023,0.05,0.1,0.1,0.059999999,0.02,0.677206,0,61.33,1.0,53.2,0.28,0.26418,0.06,0.0,0.0,0.2725,0.0,0.98000002,0.77,16.96709519,0.46329999,15939,0.032185201,0.919,2.11,81,0,0,17.10545141,0,1.0,287.8823191,0.002061933,0.344827586,0.7533,0.32,1,0.09,0.5668132
COM,,,,,0.03125,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,5.0,0.0,1.0,158.0,,,,274.61517,,0.75649226,0.7504911,,,,,4.484305,4.484305,,,8345.291,0.0,1.0,23.72232,0.42176786,,,161.5082,,1861.0,12.166667,44.25,667.5407,1.2417322,,,1.0,0.0,0.0,0.0,0.0,0.1,0.1,99.7,0.1,230055.0,869595.0,,1436.5236021274302,,,,1249193741.79201,17.379054550276713,,0.0269509645483203,,12.34607368975299,.,1,0.0,0.0,0.5,0,10.093,.,.,0.03111847,0.0,5,0,1.945910096,.,6.29710932,.,.,0.178,0.177,.,.,0.998002,0,86.51,0.0,44.8,.,.,0.08,2.0,0.0,0.549,0.0,0,.,.,.,215,0.027907001,.,4.56,.,.,.,11.66774735,.,0.0,.,.,0.2,.,.,.,0.36,.
CPV,,,,,0.03125,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,122.0,,,,259.27075,,0.72310317,0.73172784,,,,,2.4813895,2.4813895,,,10000.0,0.0,1.0,21.864225,0.464,,,16.64879,,4030.0,16.0,-24.0,440.076,1.2087786,6.2878585,8.336612,1.0,0.0,0.0,0.0,0.0,3.0,95.9,0.0,1.1,268633.0,555988.0,,3293.71602128856,,50.7971966962533,,1831266583.24418,40.883983470036654,,0.014654348868804,,12.501101414794984,.,0.375,0.0,0.0,0.166666672,.,20.5765,.,.,0.02056486,0.0,1,0,1.985405564,.,6.150602768,.,.,0.059,0.035,.,.,0.9802,0,56.55,0.0,53,.,.,0.01,2.0,0.0,1.065,0.0,0.69999999,.,.,0.434700012,196,0.045918401,0.882,5.61,.,.,.,11.42871743,.,0.0,.,.,0.062068966,.,.,.,0.13,.
CRI,53.0578,1.0,1.0,1.0,0.875,68.7,7.6,3.1,1.0,35.7302,35.4753,1025.33,20.53644,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,78.1,4.35799,1.0,1.0,0.0,10.0,7.0,110.0,12.1,76.03,0.0,248.29321,0.65,0.6158119,0.6944881,0.6200209,0.68410635,0.58738303,1.1747661,1.5663548,1.5663548,29991.777,59983.555,79978.07,0.0,1.0,24.907343,0.39548084,0.5169971,1.0,241.71835,0.17624,51060.0,10.0,-84.0,2251.7458,0.37204513,7.824046,8.601551,0.0,0.0,0.0,0.0,1.0,5.8,90.5,0.0,3.7,1847394.0,5094114.0,3732.0631498806897,9619.71602657903,20.5364402034314,15.2193246788945,6894591070.71069,49003930087.0206,21.253969653945266,0.0191175143728925,0.0204933585019919,8.224716483013967,14.429286555327645,3575,0.05321429,0.0,0.0,1,0,41.3107,29.02468,0,0.03017546,0.0,3,0.02,1.623143554,0.011,7.647786045,0.035,0.03,0.14,0.2,0.155,0.05,0.970352,0,82.73,1.0,61.9,1,0.00088,0.04,0.0,0.0,0.638,0.0,0.89099997,0.96,11.81638657,0.474,1236,0.032362498,0.803,1,91,0,0,14.76742168,0,1.0,139.6269915,-0.027087498,0.324137931,0.0001,0,0,0.42,0.2598258
CUB,,0.0,0.0,0.0,0.071428575,67.53813,15.320554,2.447486,1.0,21.0312,21.2422,649.462,25.92694,-7.0,-7.0,,,,,,,,,,,,,,,,,,,0.0,237.38397,0.8,0.62437785,0.72934747,,,0.44332135,0.88664275,1.329964,1.329964,48685.55,97371.11,146056.66,0.0,0.0,25.119175,0.10004062,0.249358,1.0,109.46857,0.0974,109820.0,21.5,-79.5,32243.152,0.13012077,6.684612,8.634992,0.0,0.0,0.0,0.0,1.0,0.8,32.0,0.0,67.2,8712535.0,11326616.0,2249.7506581409502,,25.9269410117525,,19601031350.326,,16.932467159812212,,0.0052616453114593,7.718574670453608,15.98027335125949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
